event,utc,epoch,step,train_accuracy,test_accuracy,train_logistic_loss,test_logistic_loss,objective,elapsed_seconds
training,2026-09-22T18:37:57.103410+00:00,75,7050,0.9649166666666666,0.9535,0.18738838704427083,0.1935908203125,6079.7955812566415,20.908984982408583
training,2026-09-22T18:37:57.370752+00:00,76,7144,0.9649166666666666,0.9535,0.18694069417317707,0.19315129089355468,6083.100882818185,21.176362168043852
training,2026-09-22T18:37:57.638336+00:00,77,7238,0.9649166666666666,0.9535,0.18650018310546876,0.1927188720703125,6086.383761858473,21.443946853280067
training,2026-09-22T18:37:57.905579+00:00,78,7332,0.9649166666666666,0.9535,0.18606669108072918,0.1922932891845703,6089.644518818575,21.711189528927207
training,2026-09-22T18:37:58.173691+00:00,79,7426,0.9649166666666666,0.9535,0.18563999430338543,0.19187449645996094,6092.880711342306,21.97930266149342
training,2026-09-22T18:37:58.441036+00:00,80,7520,0.9648333333333333,0.954,0.18522003173828125,0.1914622344970703,6096.094082783718,22.246645205654204
training,2026-09-22T18:37:58.708662+00:00,81,7614,0.9648333333333333,0.954,0.18480657958984376,0.19105638122558594,6099.28271150028,22.514272184111178
training,2026-09-22T18:37:58.975457+00:00,82,7708,0.9649166666666666,0.954,0.18439947509765625,0.19065673828125,6102.447589358162,22.781067203730345
training,2026-09-22T18:37:59.242718+00:00,83,7802,0.965,0.954,0.18399847412109374,0.19026307678222656,6105.5895222682575,23.04832858685404
training,2026-09-22T18:37:59.510339+00:00,84,7896,0.965,0.954,0.18360353597005208,0.1898752746582031,6108.708749614043,23.3159492155537
training,2026-09-22T18:37:59.777920+00:00,85,7990,0.965,0.954,0.18321441650390624,0.18949322509765626,6111.804578107945,23.583529624156654
training,2026-09-22T18:38:00.045597+00:00,86,8084,0.965,0.954,0.18283099365234376,0.18911668395996092,6114.878997166952,23.85120740812272
training,2026-09-22T18:38:00.313469+00:00,87,8178,0.965,0.954,0.1824530029296875,0.18874560546875,6117.931078899608,24.119078980758786
training,2026-09-22T18:38:00.581080+00:00,88,8272,0.965,0.954,0.18208040364583333,0.18837979125976562,6120.962797449149,24.386689984239638
training,2026-09-22T18:38:00.848689+00:00,89,8366,0.9649166666666666,0.954,0.1817130126953125,0.18801907348632813,6123.974917707256,24.65430055744946
training,2026-09-22T18:38:01.116306+00:00,90,8460,0.965,0.954,0.18135076904296876,0.18766342163085936,6126.964518535839,24.921917039901018
training,2026-09-22T18:38:01.384172+00:00,91,8554,0.965,0.954,0.18099346923828125,0.1873126220703125,6129.935061862422,25.18978287372738
training,2026-09-22T18:38:01.651875+00:00,92,8648,0.965,0.955,0.18064101155598958,0.186966552734375,6132.886083258834,25.45748560409993
training,2026-09-22T18:38:01.919689+00:00,93,8742,0.965,0.955,0.1802933146158854,0.18662518310546874,6135.817352900785,25.725301443599164
training,2026-09-22T18:38:02.187577+00:00,94,8836,0.965,0.9555,0.17995017496744792,0.186288330078125,6138.726925300149,25.993187246844172
training,2026-09-22T18:38:02.455424+00:00,95,8930,0.965,0.9555,0.17961165364583334,0.1859559326171875,6141.618749670889,26.261034471914172
training,2026-09-22T18:38:02.723122+00:00,96,9024,0.9650833333333333,0.9555,0.1792774658203125,0.18562789916992187,6144.489658864339,26.52873145416379
training,2026-09-22T18:38:02.991098+00:00,97,9118,0.9650833333333333,0.9555,0.1789476521809896,0.1853041229248047,6147.340895529354,26.79670822340995
training,2026-09-22T18:38:03.258979+00:00,98,9212,0.9650833333333333,0.9555,0.1786220703125,0.18498443603515624,6150.175164353614,27.06458957027644
training,2026-09-22T18:38:03.526919+00:00,99,9306,0.9650833333333333,0.9555,0.17830057779947917,0.18466879272460937,6152.988829900704,27.332529312931
training,2026-09-22T18:38:03.794786+00:00,100,9400,0.9650833333333333,0.9555,0.177983154296875,0.18435708618164062,6155.785079402549,27.600397280417383
